date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2025-10-07,32.3,23.8,27.4,1.5,94,59,17.1,11.3,4.59,21.39,1.99,8.499999999999996,0,0,76.5,35,0,1,0,0,0,0,22.01
2025-10-08,31.6,24.8,27.3,1.3,91,58,15.5,10.2,4.01,17.82,1.94,6.800000000000001,0,0,74.5,33,0,1,0,0,0,0,22.395
2025-10-09,33.3,24.6,28.2,0.0,85,45,17.2,11.0,5.63,23.59,2.82,8.699999999999996,1,0,65.0,40,0,0,0,0,1,0,26.28
2025-10-10,33.1,24.0,28.0,0.2,87,45,18.0,13.1,5.71,23.28,2.79,9.100000000000001,1,0,66.0,42,0,1,0,0,0,0,26.375
2025-10-11,32.8,24.1,27.5,1.3,91,53,18.7,12.2,4.95,21.62,2.34,8.699999999999996,0,0,72.0,38,0,1,0,0,0,0,23.85
2025-10-12,35.5,23.4,28.0,6.5,98,38,16.9,7.3,5.24,22.87,3.58,12.100000000000001,1,0,68.0,60,1,1,1,0,0,0,24.225
2025-10-13,34.0,23.5,26.7,9.6,99,50,14.9,6.9,4.08,19.11,2.67,10.5,1,0,74.5,49,0,1,1,0,0,0,21.33
2025-10-14,34.2,23.2,26.6,9.4,99,50,12.7,5.3,4.57,21.89,2.68,11.000000000000004,1,0,74.5,49,0,1,1,0,0,0,20.89
2025-10-15,31.1,23.0,25.6,23.9,99,65,10.5,5.5,3.4,16.96,1.57,8.100000000000001,0,0,82.0,34,0,1,1,1,0,0,17.915
2025-10-16,31.1,23.1,25.6,20.2,99,67,11.8,5.6,3.56,17.68,1.51,8.0,0,0,83.0,32,0,1,1,1,0,0,17.59
2025-10-17,30.8,23.9,25.8,20.7,99,68,12.9,6.7,3.42,17.32,1.39,6.900000000000002,0,0,83.5,31,0,1,1,1,0,0,17.77
